flexor_digitorium_RMS_emg,extensor_digitorium_RMS_emg,biceps_RMS_emg,triceps_RMS_emg,extensor_digitorium_Peak_emg,triceps_Peak_emg,flexor_ave_acc_x,flexor_ave_acc_y,flexor_ave_acc_z,extensor_ave_acc_x,extensor_ave_acc_y,extensor_ave_acc_z,flexor_max_acc_y,extensor_max_acc_x,extensor_max_acc_y,extensor_max_acc_z,wrist_roll_peak,wrist_roll_min,wrist_roll_range,wrist_pitch_ave,wrist_pitch_peak,wrist_pitch_min,wrist_pitch_range,max_thumb_pos,max_index_pos,max_middle_pos,max_ring_pos,min_index_pos,min_middle_pos,min_ring_pos,range_thumb_pos,range_index_pos,range_ring_pos,target
6.642852e-06,1.342016e-05,6.505974e-06,5.984923e-06,0.000119162,2.805682e-05,-0.1501298,-0.1645228,-0.903741,-0.3085121,0.1700445,0.7007635,-0.1112601,-0.228224,0.2151356,0.7990783,60.48575,60.30371,0.1820412,-1.89836,-1.709958,-2.07525,0.3652917,10.56002,24.40806,41.86579,33.70031,14.37854,28.46888,20.7727,20.28985,10.02952,12.92761,1
5.948555e-06,1.013693e-05,9.475526e-06,8.556098e-06,0.0001338768,3.799062e-05,-0.7907131,0.06835173,-0.9101409,-0.3049027,0.1802929,0.8212854,0.09536581,-0.2283025,0.2298593,0.8761078,60.48575,60.30324,0.1825066,-2.48951,-2.38025,-2.624007,0.2437575,17.33651,31.60807,43.13638,50.18977,31.60807,43.13638,50.18977,0,0,0,1
3.709753e-06,1.881865e-05,5.357075e-06,1.271342e-05,0.0002343154,8.967508e-05,-0.214598,-0.1133611,-0.8951359,-0.3679687,0.1638325,0.9811149,-0.06366345,-0.2771292,0.2458692,1.17462,56.3965,54.8718,1.524704,-4.633095,-4.456789,-4.76075,0.3039603,20.72475,44.5681,55.84223,57.4039,30.48979,31.39295,42.72568,4.868491,14.07831,14.67822,1
4.930705e-06,6.993708e-06,7.729829e-06,6.934956e-06,5.730028e-05,5.663063e-05,-0.1709234,-0.1205953,-0.6554606,0.539902,0.08424973,0.2798238,-0.03180994,0.5705601,0.1536683,0.391705,39.1235,38.3302,0.7933044,-12.71939,-12.57344,-13.0005,0.4270582,15.07768,10.72803,-1.334115,19.27205,9.805958,-1.334115,19.27205,0,0.9220676,0,1
5.432283e-06,4.692056e-06,5.236705e-06,7.654166e-06,6.219151e-05,3.781879e-05,-0.2173613,0.1398441,-0.8513322,0.2158817,0.06005144,0.8014054,0.158943,0.2445258,0.07683413,0.8147464,18.49375,17.33463,1.159119,-6.394945,-6.225816,-6.53075,0.304934,19.59534,12.16803,5.018813,9.996729,12.16803,5.018813,9.996729,0,0,0,1
3.865866e-06,1.204523e-05,4.020457e-06,1.194229e-05,0.000325231,6.013485e-05,0.2764346,0.02128978,-0.7995574,-0.618778,0.08585048,0.917349,0.0317886,-0.6031635,0.1075678,0.9714285,60.42475,41.93845,18.4863,-3.930731,-2.4415,-9.519579,7.078079,3.783538,37.01481,49.17759,40.91445,35.92809,46.94813,39.88386,0.8523366,1.086727,1.03059,1
3.531226e-06,7.853017e-05,4.394797e-06,7.868354e-06,0.0006715992,4.085371e-05,-0.5121658,-0.06811032,-0.9072804,0.05487401,0.08417143,0.1357008,-0.01684647,0.1304137,0.1229346,0.1880184,60.48489,60.30275,0.1821442,-1.37461,-1.22075,-1.463907,0.2431575,10.56002,27.28806,27.88935,32.66972,22.28929,19.04377,28.58671,2.258828,4.998772,4.08301,1
1.174721e-05,4.669158e-05,3.983206e-06,1.564774e-05,0.0009615198,8.02127e-05,-0.002065629,0.03063018,-0.9057695,-0.3310554,0.1933285,0.3213241,0.06338777,-0.3097326,0.26085,0.3447005,60.48427,60.30423,0.1800346,-1.655588,-1.34275,-1.953,0.61025,0.3952951,10.00802,3.748227,25.45559,3.069973,0.3987622,22.73879,25.39417,6.93805,2.716801,1
4.196357e-06,7.039784e-06,4.169771e-06,8.326881e-06,4.848482e-05,4.354559e-05,0.0478218,0.04102528,-0.9199404,-0.03373305,0.2208973,0.2755857,0.09482446,-0.01630172,0.2609743,0.391705,60.48575,60.30275,0.1829987,-5.658725,-5.55425,-5.797341,0.2430911,16.2071,31.60807,36.78345,54.31213,24.15854,24.63111,37.46553,8.591766,7.449533,16.8466,1
3.863681e-06,1.41416e-05,7.254458e-06,1.86619e-05,9.875981e-05,0.0001561794,0.1353822,0.02141814,-0.5713243,0.6299081,0.2526214,0.326205,0.06350069,0.684088,0.2796555,0.4261023,51.45275,50.23326,1.219486,-9.994043,-9.82675,-10.19275,0.3660002,11.68944,22.24805,29.15994,33.70031,12.42609,19.45065,26.69726,27.83055,9.821961,7.003057,1
3.069408e-06,4.808351e-06,8.32408e-06,2.882279e-06,3.012387e-05,2.205079e-05,-0.1145187,0.1006497,-0.9045139,-0.3088254,0.211928,0.5971074,0.1271544,-0.2445258,0.2484059,0.6703844,60.54507,60.36375,0.1813202,12.67481,14.5253,11.29248,3.23282,18.46593,5.688013,-7.687042,13.0885,4.24801,-8.957627,11.02732,1.129414,1.440003,2.061181,1
2.655092e-06,2.383562e-06,9.282758e-06,2.588088e-06,9.407448e-06,9.261805e-06,0.1882292,0.08792926,1.023491,-0.1448131,0.03511506,-0.8617911,0.3337803,0.2934309,0.1690351,-0.4230989,-187.5,-187.5,0,-187.5,-187.5,-187.5,0,16.2071,15.76804,17.72467,9.996729,15.76804,17.72467,9.996729,0,0,0,0
4.16225e-06,3.469322e-06,2.694459e-06,1.762639e-05,3.541239e-05,0.0002090308,0.8692901,0.07762833,0.5196571,-0.9649575,-0.03667459,-0.5736633,0.09536581,-0.9291979,-0.03107283,-0.5531383,40.16125,39.978,0.1832504,40.71706,40.95336,40.5885,0.3648605,2.654124,13.60803,-11.4988,11.02732,13.60803,-11.4988,11.02732,0,0,0,0
3.403609e-06,4.964571e-06,3.881186e-06,2.47344e-06,7.154989e-05,8.613083e-06,-0.5594602,-0.292574,0.03838328,-1.04629,-0.6518052,-0.07602083,-0.2384466,-1.027579,-0.6214567,-0.01580395,-23.4985,-23.4985,0,-22.85933,-22.766,-22.94863,0.1826248,32.0189,16.48804,2.477642,14.11909,13.60803,-0.06352928,13.0885,6.776485,2.880007,1.030591,0
4.313837e-06,5.441298e-06,4.005543e-06,4.292154e-06,7.72903e-05,1.701995e-05,-0.7646905,0.3755063,-0.4041787,-0.8750176,-0.01060009,0.3688702,0.3973576,-0.8476893,0.04650237,0.5530731,-21.48425,-21.5455,0.06125069,-20.89201,-20.813,-20.99499,0.1819935,24.113,18.64804,3.748227,14.11909,18.64804,3.748227,14.11909,0,0,0,0
3.949112e-06,1.674977e-05,3.604409e-06,1.43022e-05,0.0001392356,0.0001826721,0.8366415,0.1260558,1.016704,0.1041211,0.2052234,-0.5938359,0.1430487,0.1465908,0.2175098,-0.5689422,3.78425,-0.36625,4.1505,2.476309,5.79825,-0.7935,6.59175,11.68944,18.64804,25.34818,22.09522,17.92804,24.07759,20.30264,0,0.7200012,1.792583,0
0,0,7.522914e-06,2.62767e-06,0,9.054407e-06,0.8518995,0,0,0,0,0,0,0,0,0,-1.77,-4.942303,3.172303,-1.741627,-1.15975,-4.759147,3.599397,41.05421,30.88807,35.51286,28.54736,15.76804,7.559984,11.02732,37.27068,15.12004,17.52004,0
0,0,2.829503e-06,2.516751e-06,0,9.268815e-06,0.21391,0,0,0,0,0,0,0,0,0,-22.33875,-22.4,0.06124878,-21.77956,-21.7285,-21.8505,0.1219997,24.113,28.00807,35.51286,39.88386,28.00807,35.51286,39.88386,0,0,0,0
3.782856e-06,2.103966e-05,6.24445e-06,1.9204e-06,0.0002617454,7.210774e-06,-0.2953047,-0.1965685,-0.8910443,-0.2756048,-0.4432203,0.9179611,-0.09536581,-0.01630172,-0.1709006,1.185296,-15.86925,-15.99125,0.1219997,-15.36622,-15.13996,-15.50193,0.3619738,34.27773,54.64813,64.73633,25.45559,54.64813,64.73633,25.45559,0,0,0,0
9.180828e-06,3.348842e-05,5.678908e-06,5.336341e-06,0.0001891299,6.107567e-05,-0.305383,0.1520744,-0.7139059,0.4779188,0.1315026,0.8458084,0.2065533,0.6194653,0.2175098,1.074156,-24.475,-24.65811,0.1831074,-23.99854,-23.74275,-24.2308,0.4880486,25.24241,10.00802,-2.6047,12.05791,10.00802,-2.6047,12.05791,0,0,0,0
3.774542e-06,6.358836e-06,2.887357e-06,3.06962e-06,6.69026e-05,2.101791e-05,-0.4519334,0.2579954,-0.6555968,-0.7285485,0.01590218,0.5144736,0.3973576,-0.4890515,0.2175098,0.915549,-20.38575,-20.56798,0.18223,-19.89107,-19.71505,-20.0195,0.3044548,20.72475,26.56806,165.1126,31.63913,25.84806,165.1126,31.63913,0,0.7200012,0,0
2.816599e-06,3.231848e-06,3.529579e-06,1.005512e-05,2.525131e-05,8.563739e-05,-0.6005897,0.02176396,-0.6430451,0.5646916,0.2866218,0.5241627,0.07947151,0.5868618,0.3418012,0.5531383,-18.1885,-18.3105,0.1219997,-17.69342,-17.63925,-17.76125,0.1219997,46.70129,12.88803,-10.22821,5.874367,12.88803,-10.22821,5.874367,0,0,0,0
